Ref,Val,Package,PosX,PosY,Rot,Side
"C82","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.700400,-62.788800,-90.000000,top
"C83","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.747200,-62.331600,-90.000000,top
"C84","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.880000,-63.728600,-90.000000,top
"C85","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.161200,-63.525400,-90.000000,top
"D1","DESD5V0S1BA-7","D_SOD-323",222.885000,-146.685000,0.000000,top
"D2","DESD5V0S1BA-7","D_SOD-323",205.105000,-146.685000,180.000000,top
"D3","DESD5V0S1BA-7","D_SOD-323",222.885000,-142.875000,0.000000,top
"D4","DESD5V0S1BA-7","D_SOD-323",205.105000,-142.875000,180.000000,top
"D5","DESD5V0S1BA-7","D_SOD-323",222.885000,-139.065000,0.000000,top
"D6","DESD5V0S1BA-7","D_SOD-323",205.105000,-139.065000,180.000000,top
"D7","DESD5V0S1BA-7","D_SOD-323",222.885000,-135.255000,0.000000,top
"D8","DESD5V0S1BA-7","D_SOD-323",205.105000,-135.255000,180.000000,top
"D9","DESD5V0S1BA-7","D_SOD-323",205.105000,-120.015000,180.000000,top
"D10","DESD5V0S1BA-7","D_SOD-323",222.885000,-120.015000,0.000000,top
"D11","DESD5V0S1BA-7","D_SOD-323",205.105000,-123.825000,180.000000,top
"D12","DESD5V0S1BA-7","D_SOD-323",222.885000,-123.825000,0.000000,top
"D13","DESD5V0S1BA-7","D_SOD-323",205.105000,-127.635000,180.000000,top
"D14","DESD5V0S1BA-7","D_SOD-323",222.885000,-127.635000,0.000000,top
"D15","DESD5V0S1BA-7","D_SOD-323",205.105000,-131.445000,180.000000,top
"D16","DESD5V0S1BA-7","D_SOD-323",222.885000,-131.445000,0.000000,top
"D17","DESD5V0S1BA-7","D_SOD-323",155.795000,-146.685000,0.000000,top
"D18","DESD5V0S1BA-7","D_SOD-323",138.430000,-120.015000,180.000000,top
"D19","DESD5V0S1BA-7","D_SOD-323",138.430000,-146.685000,180.000000,top
"D20","DESD5V0S1BA-7","D_SOD-323",155.795000,-120.015000,0.000000,top
"D21","DESD5V0S1BA-7","D_SOD-323",155.795000,-142.875000,0.000000,top
"D22","DESD5V0S1BA-7","D_SOD-323",138.430000,-123.825000,180.000000,top
"D23","DESD5V0S1BA-7","D_SOD-323",138.430000,-142.875000,180.000000,top
"D24","DESD5V0S1BA-7","D_SOD-323",155.795000,-123.825000,0.000000,top
"D25","DESD5V0S1BA-7","D_SOD-323",155.795000,-139.065000,0.000000,top
"D26","DESD5V0S1BA-7","D_SOD-323",138.430000,-127.635000,180.000000,top
"D27","DESD5V0S1BA-7","D_SOD-323",138.430000,-139.065000,180.000000,top
"D28","DESD5V0S1BA-7","D_SOD-323",155.795000,-127.635000,0.000000,top
"D29","DESD5V0S1BA-7","D_SOD-323",155.795000,-135.255000,0.000000,top
"D30","DESD5V0S1BA-7","D_SOD-323",138.430000,-131.445000,180.000000,top
"D31","DESD5V0S1BA-7","D_SOD-323",138.430000,-135.255000,180.000000,top
"D32","DESD5V0S1BA-7","D_SOD-323",155.795000,-131.445000,0.000000,top
"D33","DESD5V0S1BA-7","D_SOD-323",178.435000,-146.685000,0.000000,top
"D34","DESD5V0S1BA-7","D_SOD-323",159.385000,-120.015000,180.000000,top
"D35","DESD5V0S1BA-7","D_SOD-323",201.295000,-146.685000,0.000000,top
"D36","DESD5V0S1BA-7","D_SOD-323",182.245000,-120.015000,180.000000,top
"D37","DESD5V0S1BA-7","D_SOD-323",159.385000,-146.685000,180.000000,top
"D38","DESD5V0S1BA-7","D_SOD-323",178.435000,-120.015000,0.000000,top
"D39","DESD5V0S1BA-7","D_SOD-323",182.245000,-146.685000,180.000000,top
"D40","DESD5V0S1BA-7","D_SOD-323",201.295000,-120.015000,0.000000,top
"D41","DESD5V0S1BA-7","D_SOD-323",178.435000,-142.875000,0.000000,top
"D42","DESD5V0S1BA-7","D_SOD-323",159.385000,-123.825000,180.000000,top
"D43","DESD5V0S1BA-7","D_SOD-323",201.295000,-142.875000,0.000000,top
"D44","DESD5V0S1BA-7","D_SOD-323",182.245000,-123.825000,180.000000,top
"D45","DESD5V0S1BA-7","D_SOD-323",159.385000,-142.875000,180.000000,top
"D46","DESD5V0S1BA-7","D_SOD-323",178.435000,-123.825000,0.000000,top
"D47","DESD5V0S1BA-7","D_SOD-323",182.245000,-142.875000,180.000000,top
"D48","DESD5V0S1BA-7","D_SOD-323",201.295000,-123.825000,0.000000,top
"D49","DESD5V0S1BA-7","D_SOD-323",178.435000,-139.065000,0.000000,top
"D50","DESD5V0S1BA-7","D_SOD-323",159.385000,-127.635000,180.000000,top
"D51","DESD5V0S1BA-7","D_SOD-323",201.295000,-139.065000,0.000000,top
"D52","DESD5V0S1BA-7","D_SOD-323",182.245000,-127.635000,180.000000,top
"D53","DESD5V0S1BA-7","D_SOD-323",159.385000,-139.065000,180.000000,top
"D54","DESD5V0S1BA-7","D_SOD-323",178.435000,-127.635000,0.000000,top
"D55","DESD5V0S1BA-7","D_SOD-323",182.245000,-139.065000,180.000000,top
"D56","DESD5V0S1BA-7","D_SOD-323",201.295000,-127.635000,0.000000,top
"D57","DESD5V0S1BA-7","D_SOD-323",178.435000,-135.255000,0.000000,top
"D58","DESD5V0S1BA-7","D_SOD-323",159.385000,-131.445000,180.000000,top
"D59","DESD5V0S1BA-7","D_SOD-323",201.295000,-135.255000,0.000000,top
"D60","DESD5V0S1BA-7","D_SOD-323",182.245000,-131.445000,180.000000,top
"D61","DESD5V0S1BA-7","D_SOD-323",159.385000,-135.255000,180.000000,top
"D62","DESD5V0S1BA-7","D_SOD-323",178.435000,-131.445000,0.000000,top
"D63","DESD5V0S1BA-7","D_SOD-323",182.245000,-135.255000,180.000000,top
"D64","DESD5V0S1BA-7","D_SOD-323",201.295000,-131.445000,0.000000,top
"D65","DESD5V0S1BA-7","D_SOD-323",114.905000,-63.570000,90.000000,top
"D66","DESD5V0S1BA-7","D_SOD-323",128.970000,-63.430000,90.000000,top
"D67","DESD5V0S1BA-7","D_SOD-323",115.000000,-73.730000,90.000000,top
"D68","DESD5V0S1BA-7","D_SOD-323",128.970000,-73.815000,90.000000,top
"D69","DESD5V0S1BA-7","D_SOD-323",129.065000,-94.375000,90.000000,top
"D70","DESD5V0S1BA-7","D_SOD-323",115.095000,-94.460000,90.000000,top
"D71","DESD5V0S1BA-7","D_SOD-323",129.160000,-84.300000,90.000000,top
"D72","DESD5V0S1BA-7","D_SOD-323",115.000000,-84.130000,90.000000,top
"D73","DESD5V0S1BA-7","D_SOD-323",100.965000,-94.375000,90.000000,top
"D74","DESD5V0S1BA-7","D_SOD-323",86.995000,-94.185000,90.000000,top
"D75","DESD5V0S1BA-7","D_SOD-323",100.965000,-84.385000,90.000000,top
"D76","DESD5V0S1BA-7","D_SOD-323",86.900000,-84.090000,90.000000,top
