Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D35,DESD5V0S1BA-7,D_SOD-323,201.295,-146.685,0,top
D36,DESD5V0S1BA-7,D_SOD-323,182.245,-120.015,180,top
D37,DESD5V0S1BA-7,D_SOD-323,159.385,-146.685,180,top
D38,DESD5V0S1BA-7,D_SOD-323,178.435,-120.015,0,top
D39,DESD5V0S1BA-7,D_SOD-323,182.245,-146.685,180,top
D40,DESD5V0S1BA-7,D_SOD-323,201.295,-120.015,0,top
D41,DESD5V0S1BA-7,D_SOD-323,178.435,-142.875,0,top
D42,DESD5V0S1BA-7,D_SOD-323,159.385,-123.825,180,top
D43,DESD5V0S1BA-7,D_SOD-323,201.295,-142.875,0,top
D44,DESD5V0S1BA-7,D_SOD-323,182.245,-123.825,180,top
D45,DESD5V0S1BA-7,D_SOD-323,159.385,-142.875,180,top
D46,DESD5V0S1BA-7,D_SOD-323,178.435,-123.825,0,top
D47,DESD5V0S1BA-7,D_SOD-323,182.245,-142.875,180,top
D48,DESD5V0S1BA-7,D_SOD-323,201.295,-123.825,0,top
D49,DESD5V0S1BA-7,D_SOD-323,178.435,-139.065,0,top
D50,DESD5V0S1BA-7,D_SOD-323,159.385,-127.635,180,top
D51,DESD5V0S1BA-7,D_SOD-323,201.295,-139.065,0,top
D52,DESD5V0S1BA-7,D_SOD-323,182.245,-127.635,180,top
D53,DESD5V0S1BA-7,D_SOD-323,159.385,-139.065,180,top
D54,DESD5V0S1BA-7,D_SOD-323,178.435,-127.635,0,top
D55,DESD5V0S1BA-7,D_SOD-323,182.245,-139.065,180,top
D56,DESD5V0S1BA-7,D_SOD-323,201.295,-127.635,0,top
D57,DESD5V0S1BA-7,D_SOD-323,178.435,-135.255,0,top
D58,DESD5V0S1BA-7,D_SOD-323,159.385,-131.445,180,top
D59,DESD5V0S1BA-7,D_SOD-323,201.295,-135.255,0,top
D60,DESD5V0S1BA-7,D_SOD-323,182.245,-131.445,180,top
D61,DESD5V0S1BA-7,D_SOD-323,159.385,-135.255,180,top
D62,DESD5V0S1BA-7,D_SOD-323,178.435,-131.445,0,top
D63,DESD5V0S1BA-7,D_SOD-323,182.245,-135.255,180,top
D64,DESD5V0S1BA-7,D_SOD-323,201.295,-131.445,0,top
D65,DESD5V0S1BA-7,D_SOD-323,114.905,-63.57,90,top
D66,DESD5V0S1BA-7,D_SOD-323,128.97,-63.43,90,top
D67,DESD5V0S1BA-7,D_SOD-323,115,-73.73,90,top
D68,DESD5V0S1BA-7,D_SOD-323,128.97,-73.815,90,top
D69,DESD5V0S1BA-7,D_SOD-323,129.065,-94.375,90,top
D70,DESD5V0S1BA-7,D_SOD-323,115.095,-94.46,90,top
D71,DESD5V0S1BA-7,D_SOD-323,129.16,-84.3,90,top
D72,DESD5V0S1BA-7,D_SOD-323,115,-84.13,90,top
D73,DESD5V0S1BA-7,D_SOD-323,100.965,-94.375,90,top
D74,DESD5V0S1BA-7,D_SOD-323,86.995,-94.185,90,top
D75,DESD5V0S1BA-7,D_SOD-323,100.965,-84.385,90,top
D76,DESD5V0S1BA-7,D_SOD-323,86.9,-84.09,90,top
D77,DESD5V0S1BA-7,D_SOD-323,87.09,-74.14,90,top
D78,DESD5V0S1BA-7,D_SOD-323,101.06,-74.14,90,top
D79,DESD5V0S1BA-7,D_SOD-323,101.06,-63.895,90,top
D80,DESD5V0S1BA-7,D_SOD-323,86.995,-63.895,90,top
D81,DESD5V0S1BA-7,D_SOD-323,86.805,-104.35,90,top
D82,DESD5V0S1BA-7,D_SOD-323,100.775,-104.775,90,top
D83,DESD5V0S1BA-7,D_SOD-323,86.9,-115.075,90,top
D84,DESD5V0S1BA-7,D_SOD-323,100.775,-115.16,90,top
D85,DESD5V0S1BA-7,D_SOD-323,86.9,-124.925,90,top
D86,DESD5V0S1BA-7,D_SOD-323,100.87,-125.01,90,top
D87,DESD5V0S1BA-7,D_SOD-323,86.995,-135.17,90,top
D88,DESD5V0S1BA-7,D_SOD-323,100.87,-135.17,90,top
D89,DESD5V0S1BA-7,D_SOD-323,128.81,-135.16,90,top
D90,DESD5V0S1BA-7,D_SOD-323,114.84,-135.255,90,top
D91,DESD5V0S1BA-7,D_SOD-323,128.81,-125.015,90,top
D92,DESD5V0S1BA-7,D_SOD-323,114.84,-124.685,90,top
D93,DESD5V0S1BA-7,D_SOD-323,128.81,-114.545,90,top
D94,DESD5V0S1BA-7,D_SOD-323,114.935,-114.85,90,top
D95,DESD5V0S1BA-7,D_SOD-323,128.905,-104.605,90,top
D96,DESD5V0S1BA-7,D_SOD-323,114.935,-104.69,90,top
J110,SD Holder MEM2061-01-188-00-A_REVA,MicroSD Holder,256.8174,-31.621,90,top
Q1,BSS138,SOT95P240X111-3N,261.83,-132.08,0,top
R1,10K,R_0603_1608Metric,78.6356,-41.91,0,top
R2,10K,R_0603_1608Metric,109.73,-68.58,0,top
R3,10K,R_0603_1608Metric,104.648,-68.58,180,top
R4,10K,R_0603_1608Metric,124.27,-68.495,0,top
R5,10K,R_0603_1608Metric,118.3,-68.495,180,top
R6,10K,R_0603_1608Metric,110.3,-78.585,0,top
R7,10K,R_0603_1608Metric,104.33,-78.585,180,top
R8,10K,R_0603_1608Metric,124.335,-78.515,0,top
R9,10K,R_0603_1608Metric,118.365,-78.515,180,top
R10,10K,R_0603_1608Metric,124.335,-98.82,0,top
R11,10K,R_0603_1608Metric,118.365,-98.82,180,top
R12,10K,R_0603_1608Metric,110.365,-98.89,0,top
R13,10K,R_0603_1608Metric,104.395,-98.89,180,top
R14,10K,R_0603_1608Metric,124.43,-88.745,0,top
R15,10K,R_0603_1608Metric,118.46,-88.745,180,top
R16,10K,R_0603_1608Metric,110.365,-88.815,0,top
R17,10K,R_0603_1608Metric,104.45,-88.815,180,top
R18,10K,R_0603_1608Metric,96.33,-98.82,0,top
R19,10K,R_0603_1608Metric,90.36,-98.82,180,top
R20,10K,R_0603_1608Metric,82.36,-98.96,0,top
R21,10K,R_0603_1608Metric,76.39,-98.96,180,top
R22,10K,R_0603_1608Metric,96.33,-88.955,0,top
R23,10K,R_0603_1608Metric,90.36,-88.955,180,top
R24,10K,R_0603_1608Metric,82.36,-89.04,0,top
R25,10K,R_0603_1608Metric,76.39,-89.04,180,top
R26,10K,R_0603_1608Metric,82.455,-78.585,0,top
R27,10K,R_0603_1608Metric,76.485,-78.585,180,top
R28,10K,R_0603_1608Metric,96.425,-78.67,0,top
R29,10K,R_0603_1608Metric,90.455,-78.67,180,top
R30,10K,R_0603_1608Metric,96.425,-68.58,0,top
R31,10K,R_0603_1608Metric,90.455,-68.58,180,top
R32,10K,R_0603_1608Metric,82.36,-68.75,0,top
R33,10K,R_0603_1608Metric,76.39,-68.75,180,top
R34,10K,R_0603_1608Metric,110.3,-109.135,0,top
R35,10K,R_0603_1608Metric,104.33,-109.135,180,top
R36,10K,R_0603_1608Metric,124.27,-109.135,0,top
R37,10K,R_0603_1608Metric,118.3,-109.135,180,top
R38,10K,R_0603_1608Metric,110.3,-119.535,0,top
R39,10K,R_0603_1608Metric,104.33,-119.535,180,top
R40,10K,R_0603_1608Metric,124.175,-119.62,0,top
R41,10K,R_0603_1608Metric,118.205,-119.62,180,top
R42,10K,R_0603_1608Metric,110.205,-129.54,0,top
R43,10K,R_0603_1608Metric,104.235,-129.54,180,top
R44,10K,R_0603_1608Metric,124.175,-129.68,0,top
R45,10K,R_0603_1608Metric,118.205,-129.68,180,top
R46,10K,R_0603_1608Metric,110.205,-139.91,0,top
R47,10K,R_0603_1608Metric,104.235,-139.91,180,top
R48,10K,R_0603_1608Metric,124.08,-139.955,0,top
R49,10K,R_0603_1608Metric,118.11,-139.955,180,top
R50,10K,R_0603_1608Metric,96.235,-139.615,0,top
R51,10K,R_0603_1608Metric,90.265,-139.615,180,top
R52,10K,R_0603_1608Metric,82.36,-139.615,0,top
R53,10K,R_0603_1608Metric,76.39,-139.615,180,top
R54,10K,R_0603_1608Metric,96.235,-129.455,0,top
R55,10K,R_0603_1608Metric,90.265,-129.455,180,top
R56,10K,R_0603_1608Metric,82.265,-129.37,0,top
R57,10K,R_0603_1608Metric,76.295,-129.37,180,top
R58,10K,R_0603_1608Metric,96.14,-119.605,0,top
R59,10K,R_0603_1608Metric,90.17,-119.605,180,top
R60,10K,R_0603_1608Metric,82.265,-119.52,0,top
R61,10K,R_0603_1608Metric,76.295,-119.52,180,top
R62,10K,R_0603_1608Metric,96.14,-109.22,0,top
R63,10K,R_0603_1608Metric,90.17,-109.22,180,top
R64,10K,R_0603_1608Metric,82.17,-109.56,0,top
R65,10K,R_0603_1608Metric,76.2,-109.56,180,top
R66,10K,R_0603_1608Metric,164.02,-31.115,0,top
R67,100K,R_0603_1608Metric,193.675,-77.47,0,top
R68,100K,R_0603_1608Metric,193.675,-83.82,0,top
R69,100K,R_0603_1608Metric,193.675,-86.995,0,top
R70,100K,R_0603_1608Metric,193.675,-90.17,0,top
R71,100K,R_0603_1608Metric,193.675,-93.345,0,top
R72,100K,R_0603_1608Metric,193.865,-96.52,0,top
R73,100K,R_0603_1608Metric,193.865,-99.695,0,top
R74,100K,R_0603_1608Metric,201.105,-77.47,0,top
R75,150R,R_0603_1608Metric,207.772,-104.648,90,top
R76,150R,R_0603_1608Metric,210.693,-104.648,90,top
R77,150R,R_0603_1608Metric,212.217,-108.204,90,top
R78,150R,R_0603_1608Metric,213.741,-104.649,90,top
R79,150R,R_0603_1608Metric,215.265,-108.204,90,top
R80,150R,R_0603_1608Metric,216.789,-104.648,90,top
R81,150R,R_0603_1608Metric,218.313,-108.204,90,top
R82,150R,R_0603_1608Metric,219.837,-104.648,90,top
R83,100K,R_0603_1608Metric,201.105,-80.645,0,top
R84,150R,R_0603_1608Metric,221.361,-108.204,90,top
R85,100K,R_0603_1608Metric,200.915,-83.82,0,top
R86,150R,R_0603_1608Metric,222.885,-104.648,90,top
R87,100K,R_0603_1608Metric,200.915,-86.995,0,top
R88,150R,R_0603_1608Metric,224.409,-108.204,90,top
R89,100K,R_0603_1608Metric,193.675,-80.645,0,top
R90,150R,R_0603_1608Metric,209.169,-108.204,90,top
R91,100K,R_0603_1608Metric,200.915,-90.17,0,top
R92,150R,R_0603_1608Metric,225.933,-104.648,90,top
R93,100K,R_0603_1608Metric,200.915,-93.345,0,top
R94,150R,R_0603_1608Metric,227.457,-108.204,90,top
R95,100K,R_0603_1608Metric,200.915,-96.52,0,top
